15-year-olds : mean mental well-being score (WHO-5)
Young people were asked how often over the last two weeks they had: felt cheerful and in good spirits; calm and relaxed; active and vigorous; woken up feeling fresh and rested; and felt their daily life was filled with things that interested them. Response options ranged from all the time to at no time and were combined to make a score (from zero to 100). Higher scores indicate higher mental well-being. Mean mental well-being score is presented here.
Country,Survey_year,Age_group,Girl,Boy,
Kazakhstan,2022,15-year-olds,63,73,
Greenland,2022,15-year-olds,65,69,
Armenia,2022,15-year-olds,62,70,
Kyrgyztan,2022,15-year-olds,61,72,
Albania,2022,15-year-olds,60,72,
North Macedonia,2022,15-year-olds,57,71,
Republic of Moldova,2022,15-year-olds,57,67,
Denmark,2022,15-year-olds,57,67,
Croatia,2022,15-year-olds,52,68,
Iceland,2022,15-year-olds,53,66,
Finland,2022,15-year-olds,52,66,
Norway,2022,15-year-olds,53,64,
Netherlands,2022,15-year-olds,50,64,
Sweden,2022,15-year-olds,49,64,
Belgium (Flemish),2022,15-year-olds,49,64,
Portugal,2022,15-year-olds,49,63,
Romania,2022,15-year-olds,49,62,
Lithuania,2022,15-year-olds,48,63,
Slovakia,2022,15-year-olds,48,62,
Cyprus,2022,15-year-olds,48,62,
Luxembourg,2022,15-year-olds,48,61,
Switzerland,2022,15-year-olds,48,61,
Latvia,2022,15-year-olds,47,61,
Spain,2022,15-year-olds,47,61,
Belgium (French),2022,15-year-olds,48,59,
Canada,2022,15-year-olds,48,59,
Scotland,2022,15-year-olds,47,59,
Hungary,2022,15-year-olds,46,60,
Greece,2022,15-year-olds,44,61,
Wales,2022,15-year-olds,47,58,
Germany,2022,15-year-olds,47,58,
France,2022,15-year-olds,46,59,
Czechia,2022,15-year-olds,46,59,
Ireland,2022,15-year-olds,46,57,
Austria,2022,15-year-olds,45,59,
Malta,2022,15-year-olds,44,58,
Estonia,2022,15-year-olds,43,56,
England,2022,15-year-olds,39,57,
Italy,2022,15-year-olds,40,56,
Slovenia,2022,15-year-olds,40,54,
Poland,2022,15-year-olds,40,54,
