13-year-olds : mean mental well-being score (WHO-5)
Young people were asked how often over the last two weeks they had: felt cheerful and in good spirits; calm and relaxed; active and vigorous; woken up feeling fresh and rested; and felt their daily life was filled with things that interested them. Response options ranged from all the time to at no time and were combined to make a score (from zero to 100). Higher scores indicate higher mental well-being. Mean mental well-being score is presented here.
Country,Survey_year,Age_group,Girl,Boy,
Kazakhstan,2022,13-year-olds,68,76,
Albania,2022,13-year-olds,67,77,
Kyrgyztan,2022,13-year-olds,68,75,
Armenia,2022,13-year-olds,67,75,
North Macedonia,2022,13-year-olds,66,74,
Greenland,2022,13-year-olds,63,70,
Republic of Moldova,2022,13-year-olds,61,69,
Croatia,2022,13-year-olds,57,70,
Denmark,2022,13-year-olds,58,69,
Norway,2022,13-year-olds,57,68,
Portugal,2022,13-year-olds,55,69,
Belgium (Flemish),2022,13-year-olds,55,68,
Finland,2022,13-year-olds,54,67,
Cyprus,2022,13-year-olds,54,67,
Iceland,2022,13-year-olds,56,65,
Sweden,2022,13-year-olds,53,68,
Netherlands,2022,13-year-olds,54,66,
Ireland,2022,13-year-olds,55,64,
Latvia,2022,13-year-olds,52,66,
Canada,2022,13-year-olds,52,66,
Romania,2022,13-year-olds,52,65,
Malta,2022,13-year-olds,52,65,
Lithuania,2022,13-year-olds,51,66,
Spain,2022,13-year-olds,51,65,
Wales,2022,13-year-olds,53,63,
Greece,2022,13-year-olds,49,66,
Austria,2022,13-year-olds,52,63,
Belgium (French),2022,13-year-olds,51,63,
Switzerland,2022,13-year-olds,51,63,
Luxembourg,2022,13-year-olds,50,64,
Slovakia,2022,13-year-olds,51,63,
Germany,2022,13-year-olds,51,62,
Scotland,2022,13-year-olds,50,63,
Hungary,2022,13-year-olds,50,62,
Estonia,2022,13-year-olds,49,62,
Italy,2022,13-year-olds,47,63,
France,2022,13-year-olds,49,59,
Czechia,2022,13-year-olds,47,59,
England,2022,13-year-olds,44,60,
Slovenia,2022,13-year-olds,44,58,
Poland,2022,13-year-olds,44,57,
